
0409549|   W  :  W
 328362 | J   :  J
  000000591266 |C   :  W
   0000394785   |  G :   G
  470020   |Q  :  Q
 -000000701911|R :  A
   0231847  |   C  :  C
   349465| T:   T
   0342764 |   I :I
   00000142342  |   M: M
  -000498804 |D  :   D
 00000851929  |   P  :  P
 0000774529   |  K:K
   0232366   |   E   :   E
  -00000948967 |   T   :R
00688531   |   F   :I
-21507| A   :  A
   00000185620|M  :  H
882169  |   H   :   H
   -0000315411   |  E  :  E
  027273|  V  :   V
  000606501 | U  :U

 0000800986|S :S
  0000092734   | G:A
   000603128  |   B:B
 0000930961   |J   :J
   00011123  |   E  :  E
000000383807|   X :N
  000000835135 | G   :K
   -0568464  | J  :   J
  -0000910272  |  B  :   B

00000918747  |  L  :  L
-0000001  |  X :   X
   0000377651  | E :  F
   50517 |S   :S
00000850173 |   Y   :  O
  000086176 |   A   :   A
  183550  |  B:  B
 439884|  C :F


   000000439566  |U : U
   -0000705378  |   V:  V
  000488516   |   E  :X
   0986656  | H:  H
 0186094  |  U   : O
 0606840   |   K:   K
   000879002|  J :  K
  0000990736 |W: B
 294931| Q   : Q
 00000869351   | P:P
   28117 |   Z:  Z
 00155545   |S  : P
0006672|  M: N
 0000342092   |  F:  F
   00000510049   | U  :  U
 0417106   |   O:  Y
  466384   |   Y   :T
  -000387329|U   :   U
  000962286  | Q :   Q
0000410988| F   :F
   000719739|O  :  O

 000036124  |  P: U
-000652547  |   H  :B
000656079  |W  :W
 00944051 |V   : V
   -0240455|   Q  : R
  -0000001  |  O  :  O
   -0040156 | I:   Y
  000516600   | S : S
987498|  T : S
   0808588  |   L : L
 -00228304|   P:P

   229204  |  B:G
0293024   | D  :   C
   613793  | U   :   U

   -0140433 | W :W
  0781043| S :   Y
  00556913  | K :  K
   -0001   |V   : P
  -18710  | A  :   A
000000611456   |Y:Y
00000463921   |   S   :   G
   0472587|  H  :  H
-645691|  X :  X
   068392|M :   M
 00218084  |  O :  O
   04211 |   H   : H
   000854355   |  V:  V
  000000976684|D  :  B
   000424921  |   R :  S
  832621   |  R :  T
 0000811519  | I   :   I
  0000875890|P   :R
00000733672  | P :   P
-0964478 |   Z :  Z
674136 |  A   :  C
 00426147   |  G  :   G
-00000482450|  L   :  L
 000000514048 | B  :B
   000013514 |Q : Q
00000286235   |U   : U
  000132389   | Y: Y
 0610740  | V   :V
   00000575186   | L   :  L
  000000108354   | T   :   T
00  |  V  :  V
   -000812213  | O  :O
   0862961  |   E :E
 0353232 |O:   O
 -0754837 |   A: A
 000682236   |  Q:Q
-00707028  |  M :   M
   -000746403 |F   :  F
   000426331|  T   :T
   00000039499|  A :   A
0780402  |  S :   S
 -477948   | K   :K


  0000092284  |   N:  N
-000000123380 | V   :   V
0444745   |   K:  K
   000735450   |  Y:   Y
 -1  |   I :  I

  00000583753|U :  U

0846045  |  N  :  N
   0391532   | P : P
 00000545341  | W  :W
   160106 |I: I
 000429010 |T   : T

 000143472  | R   : R
 00186393   |D:D
 00000804920  |  C:C
 190334  |  E :N
 -0000127036| S :  S
  -00000288249  | K   :D
0000738829  |B   :  B

   00000931433   |  M: M
  -000000756189   |X   :B
 000441085  |I :  I
 -209223   | U: U
   0369337   |   P: P
   -000001|  W:  B
   00000415358  | A :  A
  0000826036|T   : Y
 00662010   | H :   L
  0930411|Z:P
   00000234911|U : U
   000|   F :F
-0001  |  E:   E
-00511090  | K :   K
  00000788616   |  N   :N
   00787978  |  T   :   N
   00000969931 |B  :  D
   -0000251644 |  D  : D
   -0000505170  |   Y   : Y
 633615|  N:   Z
  00000643964   |A   : A
   000000745687|J: B
  000000198562  |Z  :Z
-000000804048 |Z  :M
   0000224781  |   Z :M
 000450583| V  : V
 -00000124206|   Q   :  B
 0  |   P  :   P
 0000940964 |  J: B
 -000000749192 |   C :   F
-00000243964  |   F   :   F

   0131136 |W  :   W
  0000485257   |Z   :  Z
 00000424706   |J   : J
   00912326   |  N  :   N
000000312364  |   F:  U
